Mês/Ano,UF,Abrangência,Quantidade,%
Dezembro - 2013,PB,ÁGUA BRANCA,6.949,244
,PB,AGUIAR,4.64,163
,PB,ALAGOA GRANDE,23.334,818
,PB,ALAGOA NOVA,15.457,542
,PB,ALAGOINHA,10.911,382
,PB,ALCANTIL,4.367,153
,PB,ALGODÃO DE JANDAÍRA,2.648,93
,PB,ALHANDRA,16.179,567
,PB,AMPARO,2.153,75
,PB,APARECIDA,6.455,226
,PB,ARAÇAGI,14.627,513
,PB,ARARA,9.322,327
,PB,ARARUNA,13.663,479
,PB,AREIA,19.058,668
,PB,AREIA DE BARAÚNAS,1.896,66
,PB,AREIAL,5.571,195
,PB,AROEIRAS,15.686,550
,PB,ASSUNÇÃO,3.341,117
,PB,BAÍA DA TRAIÇÃO,5.834,204
,PB,BANANEIRAS,17.489,613
,PB,BARAÚNA,3.875,136
,PB,BARRA DE SANTA ROSA,10.892,382
,PB,BARRA DE SANTANA,7.326,257
,PB,BARRA DE SÃO MIGUEL,4.493,157
,PB,BAYEUX,70.215,2461
,PB,BELÉM,13.408,470
,PB,BELÉM DO BREJO DO CRUZ,5.509,193
,PB,BERNARDINO BATISTA,2.528,89
,PB,BOA VENTURA,5.239,184
,PB,BOA VISTA,5.545,194
,PB,BOM JESUS,2.632,92
,PB,BOM SUCESSO,4.239,149
,PB,BONITO DE SANTA FÉ,7.993,280
,PB,BOQUEIRÃO,12.996,455
,PB,BORBOREMA,4.487,157
,PB,BREJO DO CRUZ,9.44,331
,PB,BREJO DOS SANTOS,5.282,185
,PB,CAAPORÃ,16.286,571
,PB,CABACEIRAS,4.297,151
,PB,CABEDELO,38.365,1345
,PB,CACHOEIRA DOS ÍNDIOS,7.022,246
,PB,CACIMBA DE AREIA,3.159,111
,PB,CACIMBA DE DENTRO,12.982,455
,PB,CACIMBAS,5.133,180
,PB,CAIÇARA,6.199,217
,PB,CAJAZEIRAS,43.688,1531
,PB,CAJAZEIRINHAS,3.436,120
,PB,CALDAS BRANDÃO,4.981,175
,PB,CAMALAÚ,4.857,170
,PB,CAMPINA GRANDE,282.518,9901
,PB,CAPIM,4.627,162
,PB,CARAÚBAS,3.543,124
,PB,CARRAPATEIRA,2.208,77
,PB,CASSERENGUE,5.824,204
,PB,CATINGUEIRA,4.217,148
,PB,CATOLÉ DO ROCHA,20.943,734
,PB,CATURITÉ,4.475,157
,PB,CONCEIÇÃO,13.999,491
,PB,CONDADO,5.543,194
,PB,CONDE,16.448,576
,PB,CONGO,4.524,159
,PB,COREMAS,11.993,420
,PB,COXIXOLA,1.67,59
,PB,CRUZ DO ESPÍRITO SANTO,14.014,491
,PB,CUBATI,5.903,207
,PB,CUITÉ,16.262,570
,PB,CUITÉ DE MAMANGUAPE,6.17,216
,PB,CUITEGI,5.584,196
,PB,CURRAL DE CIMA,5.011,176
,PB,CURRAL VELHO,2.028,71
,PB,DAMIÃO,4.116,144
,PB,DESTERRO,6.722,236
,PB,DIAMANTE,5.489,192
,PB,DONA INÊS,9.047,317
,PB,DUAS ESTRADAS,3.389,119
,PB,EMAS,2.853,100
,PB,ESPERANÇA,24.497,859
,PB,FAGUNDES,9.359,328
,PB,FREI MARTINHO,2.696,94
,PB,GADO BRAVO,6.82,239
,PB,GUARABIRA,39.217,1374
,PB,GURINHÉM,11.335,397
,PB,GURJÃO,2.904,102
,PB,IBIARA,5.084,178
,PB,IGARACY,5.642,198
,PB,IMACULADA,8.445,296
,PB,INGÁ,13.703,480
,PB,ITABAIANA,19.634,688
,PB,ITAPORANGA,16.946,594
,PB,ITAPOROROCA,12.711,445
,PB,ITATUBA,7.798,273
,PB,JACARAÚ,12.572,441
,PB,JERICÓ,6.276,220
,PB,JOÃO PESSOA,483.167,16933
,PB,JOCA CLAUDINO,2.49,87
,PB,JUAREZ TÁVORA,6.663,234
,PB,JUAZEIRINHO,12.415,435
,PB,JUNCO DO SERIDÓ,5.131,180
,PB,JURIPIRANGA,8.925,313
,PB,JURU,7.489,262
,PB,LAGOA,4.339,152
,PB,LAGOA DE DENTRO,5.952,209
,PB,LAGOA SECA,19.696,690
,PB,LASTRO,3.115,109
,PB,LIVRAMENTO,5.462,191
,PB,LOGRADOURO,3.123,109
,PB,LUCENA,10.123,355
,PB,MÃE D'ÁGUA,3.708,130
,PB,MALTA,4.638,163
,PB,MAMANGUAPE,32.183,1128
,PB,MANAÍRA,8.583,301
,PB,MARCAÇÃO,5.865,206
,PB,MARI,16.463,577
,PB,MARIZÓPOLIS,4.956,174
,PB,MASSARANDUBA,10.58,371
,PB,MATARACA,6.391,224
,PB,MATINHAS,3.791,133
,PB,MATO GROSSO,2.422,85
,PB,MATURÉIA,5.136,180
,PB,MOGEIRO,11.169,391
,PB,MONTADAS,3.873,136
,PB,MONTE HOREBE,3.824,134
,PB,MONTEIRO,23.667,829
,PB,MULUNGU,8.424,295
,PB,NATUBA,6.632,232
,PB,NAZAREZINHO,6.067,213
,PB,NOVA FLORESTA,7.725,271
,PB,NOVA OLINDA,5.038,177
,PB,NOVA PALMEIRA,3.215,113
,PB,OLHO D'ÁGUA,6.574,230
,PB,OLIVEDOS,3.243,114
,PB,OURO VELHO,2.655,93
,PB,PARARI,1.891,66
,PB,PASSAGEM,2.184,77
,PB,PATOS,66.617,2335
,PB,PAULISTA,9.476,332
,PB,PEDRA BRANCA,3.414,120
,PB,PEDRA LAVRADA,5.883,206
,PB,PEDRAS DE FOGO,19.178,672
,PB,PEDRO RÉGIS,4.523,159
,PB,PIANCÓ,11.272,395
,PB,PICUÍ,14.339,503
,PB,PILAR,9.177,322
,PB,PILÕES,6.726,236
,PB,PILÕEZINHOS,5.228,183
,PB,PIRPIRITUBA,7.78,273
,PB,PITIMBU,10.307,361
,PB,POCINHOS,13.177,462
,PB,POÇO DANTAS,3.393,119
,PB,POÇO DE JOSÉ DE MOURA,3.846,135
,PB,POMBAL,24.709,866
,PB,PRATA,3.491,122
,PB,PRINCESA ISABEL,15.145,531
,PB,PUXINANÃ,10.577,371
,PB,QUEIMADAS,32.222,1129
,PB,QUIXABA,1.738,61
,PB,REMÍGIO,13.245,464
,PB,RIACHÃO,3.196,112
,PB,RIACHÃO DO BACAMARTE,4.06,142
,PB,RIACHÃO DO POÇO,3.921,137
,PB,RIACHO DE SANTO ANTÔNIO,1.803,63
,PB,RIACHO DOS CAVALOS,6.871,241
,PB,RIO TINTO,18.119,635
,PB,SALGADINHO,2.716,95
,PB,SALGADO DE SÃO FÉLIX,10.608,372
,PB,SANTA CECÍLIA,6.068,213
,PB,SANTA CRUZ,5.268,185
,PB,SANTA HELENA,5.411,190
,PB,SANTA INÊS,3.808,133
,PB,SANTA LUZIA,11.433,401
,PB,SANTA RITA,89.278,3129
,PB,SANTA TERESINHA,4.544,159
,PB,SANTANA DE MANGUEIRA,4.644,163
,PB,SANTANA DOS GARROTES,5.392,189
,PB,SANTO ANDRÉ,2.611,92
,PB,SÃO BENTINHO,3.459,121
,PB,SÃO BENTO,24.341,853
,PB,SÃO DOMINGOS DE POMBAL,2.833,99
,PB,SÃO DOMINGOS DO CARIRI,2.354,82
,PB,SÃO FRANCISCO,3.321,116
,PB,SÃO JOÃO DO CARIRI,4.031,141
,PB,SÃO JOÃO DO RIO DO PEIXE,14.284,501
,PB,SÃO JOÃO DO TIGRE,3.467,122
,PB,SÃO JOSÉ DA LAGOA TAPADA,6.284,220
,PB,SÃO JOSÉ DE CAIANA,4.944,173
,PB,SÃO JOSÉ DE ESPINHARAS,3.892,136
,PB,SÃO JOSÉ DE PIRANHAS,14.655,514
,PB,SÃO JOSÉ DE PRINCESA,3.48,122
,PB,SÃO JOSÉ DO BONFIM,3.311,116
,PB,SÃO JOSÉ DO BREJO DO CRUZ,1.68,59
,PB,SÃO JOSÉ DO SABUGI,3.502,123
,PB,SÃO JOSÉ DOS CORDEIROS,3.12,109
,PB,SÃO JOSÉ DOS RAMOS,4.632,162
,PB,SÃO MAMEDE,6.367,223
,PB,SÃO MIGUEL DE TAIPU,5.32,186
,PB,SÃO SEBASTIÃO DE LAGOA DE ROÇA,8.662,304
,PB,SÃO SEBASTIÃO DO UMBUZEIRO,2.847,100
,PB,SÃO VICENTE DO SERIDÓ,8.069,283
,PB,SAPÉ,38.093,1335
,PB,SERRA BRANCA,9.955,349
,PB,SERRA DA RAIZ,2.55,89
,PB,SERRA GRANDE,2.651,93
,PB,SERRA REDONDA,6.46,226
,PB,SERRARIA,4.666,164
,PB,SERTÃOZINHO,3.809,133
,PB,SOBRADO,6.641,233
,PB,SOLÂNEA,22.254,780
,PB,SOLEDADE,10.702,375
,PB,SOSSÊGO,2.959,104
,PB,SOUSA,46.854,1642
,PB,SUMÉ,12.644,443
,PB,TACIMA,7.485,262
,PB,TAPEROÁ,10.846,380
,PB,TAVARES,10.873,381
,PB,TEIXEIRA,10.357,363
,PB,TENÓRIO,2.492,87
,PB,TRIUNFO,7.319,257
,PB,UIRAÚNA,11.212,393
,PB,UMBUZEIRO,6.472,227
,PB,VÁRZEA,2.34,82
,PB,VIEIRÓPOLIS,4.978,174
,PB,VISTA SERRANA,2.865,100
,PB,ZABELÊ,1.959,69
Mês/Ano Total:,,,2.853.335,
Total Geral,,,2.853.335,
